Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
18,Mesothelioma,900,World,0,0,30870,2040,53333,22463,72.7664,0
19,Kaposi sarcoma,900,World,0,0,34270,2020,34270,0,0,0
19,Kaposi sarcoma,900,World,0,0,34270,2025,36594,2324,6.7814,0
19,Kaposi sarcoma,900,World,0,0,34270,2030,38889,4619,13.4783,0
19,Kaposi sarcoma,900,World,0,0,34270,2035,41173,6903,20.143,0
19,Kaposi sarcoma,900,World,0,0,34270,2040,43424,9154,26.7114,0
2,Salivary glands,900,World,0,0,53583,2020,53583,0,0,0
2,Salivary glands,900,World,0,0,53583,2025,59930,6347,11.8452,0
2,Salivary glands,900,World,0,0,53583,2030,66596,13013,24.2857,0
2,Salivary glands,900,World,0,0,53583,2035,73454,19871,37.0845,0
2,Salivary glands,900,World,0,0,53583,2040,80163,26580,49.6053,0
20,Breast,900,World,0,0,2261419,2020,2261419,0,0,0
20,Breast,900,World,0,0,2261419,2025,2500682,239263,10.5802,0
20,Breast,900,World,0,0,2261419,2030,2738403,476984,21.0922,0
20,Breast,900,World,0,0,2261419,2035,2968744,707325,31.2779,0
20,Breast,900,World,0,0,2261419,2040,3185179,923760,40.8487,0
21,Vulva,900,World,0,0,45240,2020,45240,0,0,0
21,Vulva,900,World,0,0,45240,2025,51331,6091,13.4637,0
21,Vulva,900,World,0,0,45240,2030,58057,12817,28.3311,0
21,Vulva,900,World,0,0,45240,2035,65291,20051,44.3214,0
21,Vulva,900,World,0,0,45240,2040,72571,27331,60.4134,0
22,Vagina,900,World,0,0,17908,2020,17908,0,0,0
22,Vagina,900,World,0,0,17908,2025,20146,2238,12.4972,0
22,Vagina,900,World,0,0,17908,2030,22509,4601,25.6924,0
22,Vagina,900,World,0,0,17908,2035,24904,6996,39.0663,0
22,Vagina,900,World,0,0,17908,2040,27222,9314,52.0103,0
23,Cervix uteri,900,World,0,0,604127,2020,604127,0,0,0
23,Cervix uteri,900,World,0,0,604127,2025,657334,53207,8.8073,0
23,Cervix uteri,900,World,0,0,604127,2030,708090,103963,17.2088,0
23,Cervix uteri,900,World,0,0,604127,2035,755035,150908,24.9795,0
23,Cervix uteri,900,World,0,0,604127,2040,797712,193585,32.0438,0
24,Corpus uteri,900,World,0,0,417367,2020,417367,0,0,0
24,Corpus uteri,900,World,0,0,417367,2025,466909,49542,11.8701,0
24,Corpus uteri,900,World,0,0,417367,2030,516344,98977,23.7146,0
24,Corpus uteri,900,World,0,0,417367,2035,563851,146484,35.0972,0
24,Corpus uteri,900,World,0,0,417367,2040,608130,190763,45.7063,0
25,Ovary,900,World,0,0,313959,2020,313959,0,0,0
25,Ovary,900,World,0,0,313959,2025,347511,33552,10.6867,0
25,Ovary,900,World,0,0,313959,2030,381343,67384,21.4627,0
25,Ovary,900,World,0,0,313959,2035,414442,100483,32.0051,0
25,Ovary,900,World,0,0,313959,2040,445721,131762,41.9679,0
26,Penis,900,World,0,0,36068,2020,36068,0,0,0
26,Penis,900,World,0,0,36068,2025,40922,4854,13.4579,0
26,Penis,900,World,0,0,36068,2030,46090,10022,27.7864,0
26,Penis,900,World,0,0,36068,2035,51434,15366,42.6029,0
26,Penis,900,World,0,0,36068,2040,56755,20687,57.3556,0
27,Prostate,900,World,0,0,1414259,2020,1414259,0,0,0
27,Prostate,900,World,0,0,1414259,2025,1651625,237366,16.7838,0
27,Prostate,900,World,0,0,1414259,2030,1906873,492614,34.832,0
27,Prostate,900,World,0,0,1414259,2035,2169506,755247,53.4023,0
27,Prostate,900,World,0,0,1414259,2040,2426825,1012566,71.5969,0
28,Testis,900,World,0,0,74458,2020,74458,0,0,0
28,Testis,900,World,0,0,74458,2025,78145,3687,4.9518,0
28,Testis,900,World,0,0,74458,2030,81584,7126,9.5705,0
28,Testis,900,World,0,0,74458,2035,84851,10393,13.9582,0
